t (s),Actual,Predicted_RF,Predicted_DT,Absolute Error RF,Absolute Error DT,Squared Error RF,Squared Error DT,SST,,,52.84811719
8849,52.699149,52.68743692,52.68775573,0.011712079,0.011393273,0.000137173,0.000129807,0.022191522,,,
8850,52.696519,52.68766678,52.68870517,0.008852219,0.007813833,7.83618E-05,6.1056E-05,0.022982011,,,
8851,52.696519,52.68964836,52.68930623,0.006870644,0.007212769,4.72058E-05,5.2024E-05,0.022982011,,,
8852,52.703113,52.6919503,52.68982143,0.011162697,0.013291571,0.000124606,0.000176666,0.021026215,,,
8853,52.703113,52.69365647,52.69070753,0.009456527,0.012405467,8.94259E-05,0.000153896,0.021026215,,,
8854,52.702235,52.69430838,52.69148288,0.007926621,0.010752125,6.28313E-05,0.000115608,0.021281613,,,
8855,52.702235,52.69601176,52.69937989,0.00622324,0.002855111,3.87287E-05,8.15166E-06,0.021281613,,,
8856,52.695561,52.69654126,52.6996654,0.000980261,0.0041044,9.60912E-07,1.68461E-05,0.023273391,,,
8857,52.695561,52.69666508,52.69929227,0.001104078,0.003731273,1.21899E-06,1.39224E-05,0.023273391,,,
8858,52.699614,52.69703858,52.700452,0.002575418,0.000838,6.63278E-06,7.02244E-07,0.022053197,,,
8859,52.699614,52.6977808,52.70035889,0.001833195,0.000744889,3.3606E-06,5.54859E-07,0.022053197,,,
8860,52.692969,52.69641185,52.69604,0.003442851,0.003071,1.18532E-05,9.43104E-06,0.024070961,,,
8861,52.692969,52.69622567,52.6954258,0.00325667,0.0024568,1.06059E-05,6.03587E-06,0.024070961,,,
8862,52.702857,52.69758459,52.7002844,0.00527241,0.0025726,2.77983E-05,6.61827E-06,0.021100523,,,
8863,52.702857,52.69828689,52.70051827,0.004570106,0.002338727,2.08859E-05,5.46965E-06,0.021100523,,,
8864,52.703746,52.69894453,52.70071317,0.004801474,0.003032833,2.30542E-05,9.19808E-06,0.020843041,,,
8865,52.703746,52.69948847,52.70094646,0.004257526,0.002799538,1.81265E-05,7.83742E-06,0.020843041,,,
8866,52.708385,52.70035748,52.70114643,0.008027519,0.007238571,6.44411E-05,5.23969E-05,0.019525085,,,
8867,52.708385,52.7017866,52.701629,0.006598399,0.006756,4.35389E-05,4.56435E-05,0.019525085,,,
8868,52.71174,52.70249265,52.70205125,0.009247349,0.00968875,8.55135E-05,9.38719E-05,0.018598738,,,
8869,52.71174,52.70442931,52.70595943,0.007310695,0.005780571,5.34463E-05,3.3415E-05,0.018598738,,,
8870,52.712876,52.70330318,52.6993074,0.009572817,0.0135686,9.16388E-05,0.000184107,0.018290179,,,
8871,52.712876,52.70523119,52.7106252,0.007644813,0.0022508,5.84432E-05,5.0661E-06,0.018290179,,,
8872,52.708871,52.70670643,52.71100033,0.002164575,0.002129333,4.68538E-06,4.53406E-06,0.019389501,,,
8873,52.708871,52.70700148,52.71069614,0.001869521,0.001825143,3.49511E-06,3.33115E-06,0.019389501,,,
8874,52.723179,52.70719463,52.710468,0.015984374,0.012711,0.0002555,0.00016157,0.015609551,,,
8875,52.723179,52.71009733,52.71188033,0.013081673,0.011298667,0.00017113,0.00012766,0.015609551,,,
8876,52.727419,52.71115132,52.7130102,0.016267676,0.0144088,0.000264637,0.000207614,0.014568053,,,
8877,52.727419,52.71380199,52.71432009,0.013617007,0.013098909,0.000185423,0.000171581,0.014568053,,,
8878,52.728244,52.71619981,52.71541167,0.012044194,0.012832333,0.000145063,0.000164669,0.014369582,,,
8879,52.728244,52.71774326,52.725888,0.010500736,0.002356,0.000110265,5.55074E-06,0.014369582,,,
8880,52.716716,52.71831039,52.72628067,0.001594395,0.009564667,2.54209E-06,9.14828E-05,0.017266273,,,
8881,52.716716,52.71864756,52.72491429,0.001931556,0.008198286,3.73091E-06,6.72119E-05,0.017266273,,,
8882,52.73434,52.71970567,52.718435,0.014634328,0.015905,0.000214164,0.000252969,0.012945249,,,
8883,52.73434,52.72164874,52.72505067,0.012691261,0.009289333,0.000161068,8.62917E-05,0.012945249,,,
8884,52.72972,52.72286989,52.7259796,0.00685011,0.0037404,4.6924E-05,1.39906E-05,0.014017895,,,
8885,52.72972,52.72434457,52.72631964,0.005375428,0.003400364,2.88952E-05,1.15625E-05,0.014017895,,,
8886,52.728381,52.7254132,52.726603,0.002967799,0.001778,8.80783E-06,3.16128E-06,0.014336755,,,
8887,52.728381,52.72615277,52.72673977,0.002228234,0.001641231,4.96503E-06,2.69364E-06,0.014336755,,,
8888,52.743073,52.726868,52.726857,0.016205001,0.016216,0.000262602,0.000262959,0.011034282,,,
8889,52.743073,52.72929238,52.72793807,0.013780616,0.015134933,0.000189905,0.000229066,0.011034282,,,
8890,52.756264,52.73221627,52.728884,0.024047729,0.02738,0.000578293,0.000749664,0.008437009,,,
8891,52.756264,52.7398041,52.73488909,0.016459899,0.021374909,0.000270928,0.000456887,0.008437009,,,
8892,52.761293,52.74484276,52.7496685,0.016450244,0.0116245,0.000270611,0.000135129,0.00753844,,,
8893,52.761293,52.75013375,52.7519934,0.011159245,0.0092996,0.000124529,8.64826E-05,0.00753844,,,
8894,52.761972,52.75172933,52.75354333,0.010242671,0.008428667,0.000104912,7.10424E-05,0.007420994,,,
8895,52.761972,52.75338681,52.75474743,0.008585189,0.007224571,7.37055E-05,5.21944E-05,0.007420994,,,
8896,52.767951,52.75519801,52.7556505,0.012752987,0.0123005,0.000162639,0.000151302,0.006426618,,,
8897,52.767951,52.75731406,52.76100129,0.010636935,0.006949714,0.000113144,4.82985E-05,0.006426618,,,
8898,52.759228,52.75908274,52.76187,0.000145263,0.002642,2.11015E-08,6.98016E-06,0.007901288,,,
8899,52.759228,52.7595723,52.76157644,0.000344297,0.002348444,1.1854E-07,5.51519E-06,0.007901288,,,
8900,52.764997,52.75878008,52.7613416,0.006216917,0.0036554,3.86501E-05,1.33619E-05,0.006908966,,,
8901,52.764997,52.76044742,52.76167391,0.004549581,0.003323091,2.06987E-05,1.10429E-05,0.006908966,,,
8902,52.77636,52.76115659,52.76195083,0.015203408,0.014409167,0.000231144,0.000207624,0.005149094,,,
8903,52.77636,52.76300626,52.76305923,0.01335374,0.013300769,0.000178322,0.00017691,0.005149094,,,
8904,52.779752,52.7649628,52.76400929,0.014789197,0.015742714,0.00021872,0.000247833,0.004673799,,,
8905,52.779752,52.76923385,52.76641185,0.010518149,0.013340154,0.000110631,0.00017796,0.004673799,,,
8906,52.778121,52.76943643,52.778056,0.008684569,6.5E-05,7.54217E-05,4.225E-09,0.004899467,,,
8907,52.778121,52.77266064,52.778069,0.005460357,5.2E-05,2.98155E-05,2.704E-09,0.004899467,,,
8908,52.799648,52.77494951,52.77807767,0.024698488,0.021570333,0.000610015,0.000465279,0.002349262,,,
8909,52.799648,52.77987875,52.78115914,0.019769251,0.018488857,0.000390823,0.000341838,0.002349262,,,
8910,52.791811,52.77947982,52.78347025,0.012331177,0.00834075,0.000152058,6.95681E-05,0.003170387,,,
8911,52.791811,52.78321473,52.784397,0.008596271,0.007414,7.38959E-05,5.49674E-05,0.003170387,,,
