Model,MAE,MSE,RMSE,R²
Random Forest,0.013639588825468755,0.0003729495843236103,0.019311902659334485,0.9868769632591128
Decision Tree,0.009224716606004907,0.00014785360957257374,0.012159506962561177,0.9947974513654101
